J, Z, Average Z, D Avg Z, Avg D Avg Z, D Avg D Avg Z, Avg DD Avg Z
650,0.00890394,0.00890402,-5.55E-06,-4.29E-06,8.25E-08,6.90E-08
651,0.00889813,0.00889848,-5.55E-06,-4.17E-06,1.24E-07,1.08E-07
652,0.00889187,0.00889311,-5.37E-06,-4.00E-06,1.69E-07,1.45E-07
653,0.00888473,0.00888812,-4.99E-06,-3.79E-06,2.14E-07,1.80E-07
654,0.00888025,0.00888384,-4.28E-06,-3.52E-06,2.67E-07,2.10E-07
655,0.00887576,0.00888042,-3.42E-06,-3.23E-06,2.95E-07,2.30E-07
656,0.00887039,0.00887773,-2.69E-06,-2.91E-06,3.18E-07,2.40E-07
657,0.00886502,0.00887555,-2.19E-06,-2.56E-06,3.44E-07,2.41E-07
658,0.00886187,0.00887386,-1.68E-06,-2.20E-06,3.64E-07,2.36E-07
659,0.00886048,0.00887268,-1.18E-06,-1.84E-06,3.58E-07,2.23E-07
660,0.00886041,0.00887191,-7.71E-07,-1.51E-06,3.36E-07,2.04E-07
661,0.008863,0.00887158,-3.29E-07,-1.20E-06,3.03E-07,1.79E-07
662,0.0088678,0.00887143,-1.52E-07,-9.67E-07,2.36E-07,1.48E-07
663,0.00887304,0.00887128,-1.52E-07,-8.18E-07,1.49E-07,1.14E-07
664,0.00887652,0.00887112,-1.52E-07,-7.55E-07,6.29E-08,7.73E-08
665,0.00887866,0.00887103,-9.30E-08,-7.57E-07,-1.97E-09,3.85E-08
666,0.00888037,0.00887085,-1.82E-07,-8.20E-07,-6.29E-08,-3.01E-09
667,0.00888031,0.00887052,-3.29E-07,-9.40E-07,-1.20E-07,-4.44E-08
668,0.0088798,0.00887007,-4.47E-07,-1.10E-06,-1.59E-07,-8.44E-08
669,0.00887797,0.00886933,-7.41E-07,-1.30E-06,-2.00E-07,-1.23E-07
670,0.00887349,0.00886815,-1.18E-06,-1.52E-06,-2.22E-07,-1.57E-07
671,0.00886811,0.00886641,-1.74E-06,-1.75E-06,-2.26E-07,-1.84E-07
672,0.00886363,0.00886419,-2.22E-06,-1.99E-06,-2.38E-07,-2.03E-07
673,0.00885914,0.00886156,-2.63E-06,-2.24E-06,-2.59E-07,-2.14E-07
674,0.00885555,0.00885858,-2.98E-06,-2.51E-06,-2.63E-07,-2.19E-07
675,0.00885371,0.00885542,-3.16E-06,-2.77E-06,-2.63E-07,-2.18E-07
676,0.00885188,0.00885209,-3.34E-06,-3.04E-06,-2.73E-07,-2.13E-07
677,0.00885005,0.0088486,-3.48E-06,-3.32E-06,-2.73E-07,-2.04E-07
678,0.00884689,0.00884506,-3.54E-06,-3.57E-06,-2.57E-07,-1.91E-07
679,0.00884329,0.00884134,-3.72E-06,-3.79E-06,-2.18E-07,-1.76E-07
680,0.00883925,0.00883736,-3.98E-06,-3.97E-06,-1.79E-07,-1.58E-07
681,0.00883565,0.00883323,-4.13E-06,-4.11E-06,-1.40E-07,-1.36E-07
682,0.00883293,0.00882895,-4.28E-06,-4.22E-06,-1.04E-07,-1.11E-07
683,0.00882977,0.00882441,-4.54E-06,-4.30E-06,-8.25E-08,-8.61E-08
684,0.00882573,0.00881957,-4.84E-06,-4.36E-06,-5.89E-08,-5.91E-08
685,0.00882036,0.00881453,-5.04E-06,-4.39E-06,-3.14E-08,-3.08E-08
686,0.00881234,0.00880951,-5.02E-06,-4.39E-06,-5.89E-09,-3.01E-09
687,0.00880388,0.00880461,-4.90E-06,-4.36E-06,3.54E-08,2.08E-08
688,0.00879718,0.00879989,-4.72E-06,-4.28E-06,7.86E-08,4.05E-08
689,0.00879137,0.00879535,-4.54E-06,-4.18E-06,1.02E-07,5.66E-08
690,0.00878556,0.00879095,-4.40E-06,-4.06E-06,1.16E-07,6.96E-08
691,0.00877931,0.00878673,-4.22E-06,-3.93E-06,1.32E-07,8.03E-08
692,0.00877438,0.00878278,-3.95E-06,-3.78E-06,1.51E-07,8.88E-08
693,0.00877166,0.00877915,-3.63E-06,-3.62E-06,1.59E-07,9.44E-08
694,0.00876983,0.00877596,-3.19E-06,-3.48E-06,1.40E-07,9.68E-08
695,0.00876844,0.00877316,-2.80E-06,-3.36E-06,1.16E-07,9.42E-08
696,0.00876749,0.00877056,-2.60E-06,-3.26E-06,1.02E-07,8.66E-08
697,0.00876699,0.00876802,-2.54E-06,-3.17E-06,9.04E-08,7.64E-08
698,0.00876648,0.00876545,-2.57E-06,-3.09E-06,7.86E-08,6.55E-08
699,0.00876642,0.00876288,-2.57E-06,-3.02E-06,6.88E-08,5.48E-08
700,0.00876591,0.00876022,-2.66E-06,-2.97E-06,5.31E-08,4.36E-08
701,0.00876452,0.0087573,-2.92E-06,-2.94E-06,2.95E-08,3.33E-08
702,0.00876181,0.00875414,-3.16E-06,-2.95E-06,-3.92E-09,2.69E-08
703,0.00875821,0.00875096,-3.19E-06,-2.98E-06,-3.54E-08,2.45E-08
704,0.00875328,0.00874777,-3.19E-06,-3.03E-06,-5.11E-08,2.37E-08
705,0.00874703,0.00874455,-3.22E-06,-3.08E-06,-4.72E-08,2.38E-08
