J, Z, Average Z, D Avg Z, Avg D Avg Z, D Avg D Avg Z, Avg DD Avg Z
1, 0.0307222, 
2, 0.0307414, 
3, 0.0307013, 
4, 0.0306926, 
5, 0.0306835, 
6, 0.0306748, 
7, 0.0306675, 
8, 0.0306654, 0.030682, 
9, 0.0306673, 0.0306779, -4.05436e-06, 
10, 0.0306693, 0.0306724, -5.46885e-06, 
11, 0.0306703, 0.0306696, -2.84625e-06, 
12, 0.03067, 0.0306672, -2.34519e-06, 
13, 0.0306697, 0.0306654, -1.81484e-06, 
14, 0.0306686, 0.0306642, -1.25493e-06, 
15, 0.0306656, 0.0306634, -7.53999e-07, 
16, 0.0306614, 0.0306628, -6.36031e-07, -1.95039e-06
17, 0.0306593, 0.030662, -7.83429e-07, -1.79323e-06, 1.57158e-07
 18, 0.0306586, 0.0306609, -1.0781e-06, -1.55357e-06, 2.3966e-07
 19, 0.0306574, 0.0306596, -1.37289e-06, -1.5025e-06, 5.10696e-08
 20, 0.0306563, 0.030658, -1.5496e-06, -1.49662e-06, 5.87768e-09
 21, 0.030656, 0.0306563, -1.69699e-06, -1.53788e-06, -4.12597e-08
 22, 0.0306561, 0.0306545, -1.81496e-06, -1.63416e-06, -9.62781e-08
 23, 0.0306559, 0.0306527, -1.78541e-06, -1.78347e-06, -1.4931e-07
 24, 0.0306556, 0.030651, -1.69699e-06, -1.9603e-06, -1.76827e-07, -5.40973e-08
25, 0.0306531, 0.0306491, -1.87395e-06, -2.14104e-06, -1.80743e-07, -6.94206e-08
26, 0.0306497, 0.0306471, -2.0802e-06, -2.29624e-06, -1.55204e-07, -8.86713e-08
27, 0.0306468, 0.0306448, -2.25703e-06, -2.42393e-06, -1.27686e-07, -9.39088e-08
28, 0.0306443, 0.0306424, -2.43373e-06, -2.53003e-06, -1.06096e-07, -9.49546e-08
29, 0.0306413, 0.0306397, -2.6991e-06, -2.61647e-06, -8.64433e-08, -9.20732e-08
30, 0.0306389, 0.0306367, -2.99364e-06, -2.68915e-06, -7.26846e-08, -8.44747e-08
31, 0.0306359, 0.0306334, -3.28844e-06, -2.76185e-06, -7.26928e-08, -7.16398e-08
32, 0.0306312, 0.0306299, -3.49457e-06, -2.83454e-06, -7.26928e-08, -5.48733e-08
33, 0.0306274, 0.0306265, -3.40616e-06, -2.88364e-06, -4.90993e-08, -3.65376e-08
34, 0.0306236, 0.0306232, -3.28819e-06, -2.91113e-06, -2.74926e-08, -2.01662e-08
35, 0.0306198, 0.0306201, -3.14104e-06, -2.92094e-06, -9.80993e-09, -6.02283e-09
36, 0.0306155, 0.0306171, -2.99364e-06, -2.91898e-06, 1.96199e-09, 6.15915e-09
37, 0.0306112, 0.0306142, -2.90523e-06, -2.90128e-06, 1.76993e-08, 1.63753e-08
38, 0.0306065, 0.0306113, -2.8758e-06, -2.85807e-06, 4.32134e-08, 2.58055e-08
39, 0.0306032, 0.0306085, -2.78739e-06, -2.7834e-06, 7.46714e-08, 3.53671e-08
40, 0.030602, 0.0306059, -2.61044e-06, -2.6891e-06, 9.42912e-08, 4.44044e-08
41, 0.0306004, 0.0306034, -2.49259e-06, -2.59874e-06, 9.03673e-08, 5.08201e-08
42, 0.0305997, 0.030601, -2.40418e-06, -2.51427e-06, 8.44647e-08, 5.46172e-08
43, 0.0305994, 0.0305986, -2.4043e-06, -2.43764e-06, 7.66334e-08, 5.60565e-08
44, 0.0305978, 0.0305961, -2.43361e-06, -2.37084e-06, 6.67986e-08, 5.63192e-08
45, 0.0305957, 0.0305938, -2.34544e-06, -2.30207e-06, 6.87689e-08, 5.59241e-08
46, 0.0305941, 0.0305916, -2.16837e-06, -2.23134e-06, 7.07308e-08, 5.34367e-08
47, 0.0305921, 0.0305896, -2.0802e-06, -2.16847e-06, 6.28663e-08, 4.80645e-08
48, 0.03059, 0.0305875, -2.05065e-06, -2.12134e-06, 4.71373e-08, 4.12552e-08
49, 0.0305875, 0.0305855, -2.02122e-06, -2.09187e-06, 2.94629e-08, 3.44449e-08
50, 0.0305837, 0.0305835, -1.99154e-06, -2.08009e-06, 1.17802e-08, 2.78977e-08
51, 0.030579, 0.0305815, -1.99166e-06, -2.07419e-06, 5.90252e-09, 2.14781e-08
52, 0.0305761, 0.0305796, -1.8737e-06, -2.06242e-06, 1.17719e-08, 1.54531e-08
53, 0.030574, 0.0305778, -1.81484e-06, -2.05652e-06, 5.90252e-09, 8.24807e-09
54, 0.030572, 0.030576, -1.84439e-06, -2.06243e-06, -5.91079e-09, 3.89086e-10
55, 0.0305712, 0.0305741, -1.90337e-06, -2.07028e-06, -7.84794e-09, -6.94504e-09
56, 0.0305701, 0.030572, -2.05065e-06, -2.08206e-06, -1.17885e-08, -1.28371e-08
57, 0.0305698, 0.0305698, -2.22748e-06, -2.09581e-06, -1.37422e-08, -1.62417e-08
58, 0.0305695, 0.0305675, -2.31576e-06, -2.11547e-06, -1.96613e-08, -1.68963e-08
59, 0.0305697, 0.0305652, -2.25703e-06, -2.13905e-06, -2.35769e-08, -1.61115e-08
60, 0.0305685, 0.030563, -2.25691e-06, -2.17835e-06, -3.9306e-08, -1.55855e-08
61, 0.0305664, 0.0305607, -2.25703e-06, -2.2255e-06, -4.71539e-08, -1.41456e-08
62, 0.0305635, 0.0305585, -2.19792e-06, -2.27265e-06, -4.71456e-08, -1.16555e-08
63, 0.0305592, 0.0305563, -2.22748e-06, -2.31389e-06, -4.12431e-08, -9.29888e-09
64, 0.0305541, 0.030554, -2.22735e-06, -2.3355e-06, -2.16067e-08, -6.67958e-09
65, 0.030549, 0.0305518, -2.28646e-06, -2.33354e-06, 1.96199e-09, -3.79924e-09
66, 0.0305451, 0.0305494, -2.34532e-06, -2.31586e-06, 1.76744e-08, -2.6215e-10
67, 0.0305422, 0.0305469, -2.46329e-06, -2.2962e-06, 1.96613e-08, 3.40464e-09
68, 0.0305402, 0.0305444, -2.52215e-06, -2.2687e-06, 2.75009e-08, 7.33523e-09
69, 0.030539, 0.0305419, -2.55158e-06, -2.23726e-06, 3.14415e-08, 9.95508e-09
70, 0.0305378, 0.0305394, -2.52202e-06, -2.20976e-06, 2.75009e-08, 1.06096e-08
71, 0.0305367, 0.030537, -2.37475e-06, -2.18226e-06, 2.75009e-08, 9.03673e-09
72, 0.0305355, 0.0305348, -2.19805e-06, -2.1528e-06, 2.94629e-08, 4.19054e-09
73, 0.0305343, 0.0305327, -2.05065e-06, -2.1194e-06, 3.33952e-08, -3.92894e-09
74, 0.0305327, 0.0305308, -1.96211e-06, -2.08798e-06, 3.14249e-08, -1.42748e-08
75, 0.0305307, 0.0305289, -1.84439e-06, -2.06832e-06, 1.9653e-08, -2.50163e-08
76, 0.0305282, 0.0305271, -1.78541e-06, -2.07618e-06, -7.85622e-09, -3.6148e-08
77, 0.0305257, 0.0305254, -1.78541e-06, -2.11351e-06, -3.73274e-08, -4.64949e-08
78, 0.0305236, 0.0305235, -1.81496e-06, -2.17834e-06, -6.48366e-08, -5.51387e-08
79, 0.0305211, 0.0305218, -1.78541e-06, -2.27264e-06, -9.42995e-08, -6.27344e-08
80, 0.0305182, 0.03052, -1.78553e-06, -2.39247e-06, -1.1983e-07, -7.07237e-08
81, 0.0305157, 0.0305181, -1.87395e-06, -2.52999e-06, -1.37513e-07, -7.93669e-08
82, 0.0305145, 0.0305159, -2.16849e-06, -2.67145e-06, -1.41462e-07, -8.78788e-08
83, 0.0305134, 0.0305133, -2.63999e-06, -2.81092e-06, -1.39475e-07, -9.35109e-08
84, 0.0305122, 0.0305102, -3.11149e-06, -2.93468e-06, -1.23762e-07, -9.36417e-08
85, 0.0305106, 0.0305067, -3.49457e-06, -3.03684e-06, -1.02156e-07, -8.81409e-08
86, 0.0305099, 0.0305029, -3.78924e-06, -3.12328e-06, -8.6435e-08, -7.79248e-08
87, 0.0305087, 0.0304989, -3.9955e-06, -3.21365e-06, -9.03755e-08, -6.40424e-08
88, 0.0305062, 0.0304948, -4.11334e-06, -3.3099e-06, -9.62532e-08, -4.71478e-08
89, 0.0305002, 0.0304907, -4.08404e-06, -3.40616e-06, -9.62532e-08, -2.8289e-08
90, 0.0304911, 0.0304868, -3.93651e-06, -3.47099e-06, -6.48283e-08, -9.95177e-09
91, 0.0304815, 0.0304831, -3.64184e-06, -3.4808e-06, -9.81821e-09, 5.76399e-09
92, 0.0304733, 0.0304798, -3.31774e-06, -3.43562e-06, 4.51836e-08, 1.63714e-08
93, 0.0304668, 0.0304767, -3.11149e-06, -3.34721e-06, 8.84053e-08, 2.09549e-08
94, 0.0304612, 0.0304735, -3.14104e-06, -3.23328e-06, 1.13936e-07, 2.13473e-08
95, 0.0304565, 0.0304703, -3.22933e-06, -3.09969e-06, 1.33589e-07, 2.06933e-08
96, 0.0304544, 0.030467, -3.31774e-06, -2.95432e-06, 1.45369e-07, 1.9776e-08
97, 0.0304555, 0.0304639, -3.14092e-06, -2.82072e-06, 1.33597e-07, 1.8728e-08
98, 0.0304587, 0.0304611, -2.78726e-06, -2.72446e-06, 9.62615e-08, 1.4405e-08
99, 0.0304624, 0.0304586, -2.43373e-06, -2.68911e-06, 3.53489e-08, 4.84288e-09
100, 0.0304639, 0.0304565, -2.16849e-06, -2.72252e-06, -3.34034e-08, -9.56323e-09
101, 0.0304628, 0.0304544, -2.0802e-06, -2.80307e-06, -8.05491e-08, -2.76372e-08
102, 0.0304603, 0.0304524, -1.99166e-06, -2.90325e-06, -1.00185e-07, -4.71506e-08
103, 0.0304564, 0.0304505, -1.9328e-06, -3.01326e-06, -1.10012e-07, -6.77125e-08
104, 0.0304531, 0.0304484, -2.08008e-06, -3.12524e-06, -1.11974e-07, -8.85366e-08
105, 0.0304493, 0.0304459, -2.49259e-06, -3.25491e-06, -1.29673e-07, -1.06742e-07
106, 0.030445, 0.0304428, -3.11161e-06, -3.40816e-06, -1.5325e-07, -1.19054e-07
107, 0.0304407, 0.030439, -3.8188e-06, -3.57907e-06, -1.70908e-07, -1.2272e-07
