J, Z, Average Z, D Avg Z, Avg D Avg Z, D Avg D Avg Z, Avg DD Avg Z
72, 0.0304704, 0.0304585, -2.99613e-06, -3.17686e-06, -5.04851e-07, -3.75602e-07
73, 0.0304683, 0.0304547, -3.76229e-06, -3.70137e-06, -5.24504e-07, -3.79793e-07
74, 0.0304637, 0.0304502, -4.52834e-06, -4.22195e-06, -5.20589e-07, -3.74423e-07
75, 0.0304585, 0.0304449, -5.26508e-06, -4.71306e-06, -4.91109e-07, -3.5897e-07
76, 0.0304534, 0.0304389, -5.97239e-06, -5.16881e-06, -4.55744e-07, -3.33564e-07
77, 0.0304443, 0.0304322, -6.709e-06, -5.59116e-06, -4.22357e-07, -2.98594e-07
78, 0.0304317, 0.030425, -7.20968e-06, -5.94868e-06, -3.5752e-07, -2.53542e-07
79, 0.0304186, 0.0304176, -7.3572e-06, -6.2139e-06, -2.65216e-07, -2.01421e-07
80, 0.0304064, 0.0304101, -7.50447e-06, -6.3848e-06, -1.709e-07, -1.4681e-07
81, 0.030396, 0.0304026, -7.5046e-06, -6.46534e-06, -8.05408e-08, -8.98424e-08
82, 0.0303869, 0.0303953, -7.3572e-06, -6.46142e-06, 3.92397e-09, -3.28725e-08
83, 0.0303778, 0.0303881, -7.18037e-06, -6.38088e-06, 8.05325e-08, 2.20007e-08
84, 0.0303678, 0.0303811, -7.0331e-06, -6.22568e-06, 1.55204e-07, 7.42541e-08
85, 0.0303614, 0.0303744, -6.67945e-06, -5.98797e-06, 2.37707e-07, 1.24413e-07
86, 0.0303594, 0.0303682, -6.14921e-06, -5.69333e-06, 2.94646e-07, 1.69595e-07
87, 0.0303578, 0.0303627, -5.55962e-06, -5.37901e-06, 3.14315e-07, 2.07314e-07
88, 0.0303558, 0.0303577, -4.97041e-06, -5.049e-06, 3.30011e-07, 2.37042e-07
89, 0.0303533, 0.0303532, -4.46948e-06, -4.71504e-06, 3.3396e-07, 2.5865e-07
90, 0.0303508, 0.0303492, -4.05709e-06, -4.38305e-06, 3.3199e-07, 2.72664e-07
91, 0.0303479, 0.0303455, -3.64433e-06, -4.055e-06, 3.28057e-07, 2.79999e-07
92, 0.0303441, 0.0303424, -3.1434e-06, -3.72497e-06, 3.30028e-07, 2.80784e-07
93, 0.0303395, 0.0303396, -2.78999e-06, -3.40476e-06, 3.20209e-07, 2.73843e-07
94, 0.0303352, 0.030337, -2.64247e-06, -3.10419e-06, 3.00573e-07, 2.61403e-07
95, 0.0303319, 0.0303344, -2.55431e-06, -2.82918e-06, 2.75009e-07, 2.46735e-07
96, 0.030329, 0.0303319, -2.4952e-06, -2.58558e-06, 2.43593e-07, 2.30497e-07
97, 0.0303261, 0.0303295, -2.37736e-06, -2.37146e-06, 2.14121e-07, 2.14126e-07
98, 0.0303232, 0.0303273, -2.25951e-06, -2.18089e-06, 1.90569e-07, 1.97625e-07
99, 0.0303207, 0.0303252, -2.08269e-06, -2.01392e-06, 1.66976e-07, 1.80993e-07
100, 0.0303195, 0.0303233, -1.8763e-06, -1.88034e-06, 1.33581e-07, 1.63183e-07
101, 0.0303197, 0.0303217, -1.64062e-06, -1.77229e-06, 1.0805e-07, 1.44846e-07
102, 0.0303195, 0.0303202, -1.43449e-06, -1.67799e-06, 9.42912e-08, 1.2638e-07
103, 0.0303183, 0.0303189, -1.31652e-06, -1.59154e-06, 8.64516e-08, 1.07522e-07
104, 0.0303176, 0.0303177, -1.25766e-06, -1.50315e-06, 8.8397e-08, 8.86636e-08
105, 0.0303169, 0.0303165, -1.19855e-06, -1.41867e-06, 8.4473e-08, 6.98059e-08
106, 0.0303167, 0.0303153, -1.13969e-06, -1.34009e-06, 7.85788e-08, 5.06833e-08
107, 0.030316, 0.0303142, -1.13969e-06, -1.27723e-06, 6.28663e-08, 3.1431e-08
108, 0.0303148, 0.030313, -1.16924e-06, -1.23206e-06, 4.51671e-08, 1.30959e-08
109, 0.0303137, 0.0303118, -1.2281e-06, -1.20849e-06, 2.35687e-08, -5.10779e-09
110, 0.0303121, 0.0303105, -1.25753e-06, -1.21634e-06, -7.84794e-09, -2.37044e-08
111, 0.0303101, 0.0303094, -1.16924e-06, -1.25563e-06, -3.92894e-08, -4.29573e-08
112, 0.0303081, 0.0303083, -1.11026e-06, -1.32437e-06, -6.8744e-08, -6.41727e-08
113, 0.0303061, 0.0303072, -1.08083e-06, -1.42064e-06, -9.62698e-08, -8.68291e-08
114, 0.0303036, 0.030306, -1.13969e-06, -1.54245e-06, -1.21809e-07, -1.10533e-07
115, 0.030302, 0.0303048, -1.1988e-06, -1.6839e-06, -1.41445e-07, -1.33714e-07
116, 0.0303013, 0.0303035, -1.28709e-06, -1.8489e-06, -1.65006e-07, -1.55713e-07
117, 0.0303006, 0.030302, -1.5522e-06, -2.03356e-06, -1.84659e-07, -1.75488e-07
118, 0.0303008, 0.0303001, -1.90586e-06, -2.2359e-06, -2.02341e-07, -1.90681e-07
119, 0.030301, 0.0302978, -2.28882e-06, -2.46574e-06, -2.29834e-07, -1.99587e-07
120, 0.0303007, 0.0302952, -2.6426e-06, -2.72111e-06, -2.55373e-07, -2.01423e-07
121, 0.0302996, 0.0302922, -2.96682e-06, -2.99809e-06, -2.76979e-07, -1.96445e-07
122, 0.030298, 0.0302889, -3.26137e-06, -3.28293e-06, -2.84844e-07, -1.85049e-07
123, 0.0302955, 0.0302853, -3.64433e-06, -3.56776e-06, -2.84827e-07, -1.68286e-07
124, 0.0302904, 0.0302813, -3.99798e-06, -3.84082e-06, -2.73056e-07, -1.45631e-07
125, 0.0302835, 0.030277, -4.29265e-06, -4.07656e-06, -2.35745e-07, -1.1826e-07
126, 0.0302758, 0.0302724, -4.61675e-06, -4.24944e-06, -1.72878e-07, -8.68291e-08
127, 0.0302684, 0.0302674, -4.94085e-06, -4.34572e-06, -9.62781e-08, -5.10773e-08
128, 0.0302616, 0.0302622, -5.23552e-06, -4.36732e-06, -2.15984e-08, -1.12653e-08
129, 0.0302547, 0.0302568, -5.41235e-06, -4.31819e-06, 4.91242e-08, 3.20822e-08
130, 0.0302473, 0.0302513, -5.47121e-06, -4.20819e-06, 1.10004e-07, 7.75258e-08
131, 0.0302413, 0.0302459, -5.38292e-06, -4.03336e-06, 1.74824e-07, 1.23754e-07
132, 0.0302362, 0.0302408, -5.08837e-06, -3.80746e-06, 2.25902e-07, 1.69197e-07
133, 0.0302315, 0.0302363, -4.49903e-06, -3.53834e-06, 2.69123e-07, 2.11106e-07
134, 0.0302269, 0.0302326, -3.73299e-06, -3.2319e-06, 3.06442e-07, 2.45158e-07
135, 0.0302222, 0.0302296, -2.96657e-06, -2.89009e-06, 3.41808e-07, 2.68996e-07
136, 0.0302184, 0.0302274, -2.22996e-06, -2.51686e-06, 3.73233e-07, 2.82614e-07
137, 0.0302159, 0.0302258, -1.61131e-06, -2.12005e-06, 3.9681e-07, 2.8628e-07
138, 0.0302148, 0.0302248, -1.02197e-06, -1.71146e-06, 4.0859e-07, 2.81828e-07
139, 0.0302141, 0.0302242, -6.09457e-07, -1.30286e-06, 4.08598e-07, 2.69389e-07
140, 0.0302161, 0.0302239, -2.55803e-07, -9.09964e-07, 3.92894e-07, 2.50793e-07
141, 0.0302198, 0.0302239, -2.01166e-08, -5.72064e-07, 3.379e-07, 2.26828e-07
142, 0.0302239, 0.0302241, 1.86265e-07, -3.1078e-07, 2.61284e-07, 1.98935e-07
143, 0.0302281, 0.0302245, 3.62967e-07, -1.281e-07, 1.8268e-07, 1.67504e-07
144, 0.0302305, 0.030225, 5.39795e-07, -2.39909e-08, 1.04109e-07, 1.328e-07
145, 0.030232, 0.0302256, 6.57638e-07, 1.92391e-08, 4.32299e-08, 9.4953e-08
146, 0.0302322, 0.0302264, 7.46051e-07, 7.46714e-09, -1.17719e-08, 5.48799e-08
147, 0.0302324, 0.0302272, 8.05035e-07, -4.55644e-08, -5.30316e-08, 1.34966e-08
148, 0.0302312, 0.0302278, 5.69473e-07, -1.35915e-07, -9.03507e-08, -2.78878e-08
149, 0.0302297, 0.030228, 1.86265e-07, -2.47873e-07, -1.11957e-07, -6.44282e-08
150, 0.0302276, 0.0302277, -2.26373e-07, -3.77529e-07, -1.29657e-07, -9.38955e-08
151, 0.0302265, 0.0302271, -6.68317e-07, -5.24852e-07, -1.47323e-07, -1.16288e-07
152, 0.0302258, 0.0302261, -9.62863e-07, -6.95752e-07, -1.709e-07, -1.3161e-07
153, 0.030226, 0.0302249, -1.19855e-06, -8.88258e-07, -1.92506e-07, -1.42743e-07
154, 0.0302262, 0.0302235, -1.40493e-06, -1.10041e-06, -2.12151e-07, -1.52698e-07
155, 0.0302246, 0.0302219, -1.61106e-06, -1.32828e-06, -2.27872e-07, -1.6383e-07
156, 0.0302226, 0.0302202, -1.69948e-06, -1.53849e-06, -2.10206e-07, -1.77452e-07
157, 0.0302205, 0.0302184, -1.75859e-06, -1.71921e-06, -1.80726e-07, -1.96967e-07
158, 0.0302181, 0.0302166, -1.84687e-06, -1.87242e-06, -1.53209e-07, -2.24993e-07
159, 0.0302161, 0.0302146, -2.0237e-06, -1.99814e-06, -1.25716e-07, -2.64283e-07
160, 0.030214, 0.0302123, -2.22996e-06, -2.1219e-06, -1.23762e-07, -3.18241e-07
161, 0.0302111, 0.0302099, -2.43622e-06, -2.283e-06, -1.61098e-07, -3.89878e-07
162, 0.0302082, 0.0302073, -2.61304e-06, -2.50301e-06, -2.20016e-07, -4.80506e-07
163, 0.0302058, 0.0302047, -2.58361e-06, -2.79769e-06, -2.94679e-07, -5.92217e-07
164, 0.0302033, 0.0302022, -2.52463e-06, -3.20238e-06, -4.04691e-07, -7.313e-07
165, 0.0301999, 0.0301996, -2.52451e-06, -3.75243e-06, -5.50043e-07, -9.00504e-07
166, 0.0301961, 0.0301971, -2.55406e-06, -4.4891e-06, -7.36672e-07, -1.10036e-06
167, 0.0301924, 0.0301943, -2.8193e-06, -5.46936e-06, -9.80265e-07, -1.32954e-06
168, 0.0301894, 0.0301907, -3.61502e-06, -6.73643e-06, -1.26707e-06, -1.58322e-06
169, 0.030187, 0.0301859, -4.70517e-06, -8.30799e-06, -1.57156e-06, -1.8547e-06
170, 0.0301858, 0.0301799, -6.03124e-06, -1.02115e-05, -1.90355e-06, -2.14177e-06
171, 0.0301847, 0.0301721, -7.76984e-06, -1.2508e-05, -2.29644e-06, -2.44273e-06
172, 0.0301827, 0.0301621, -1.00092e-05, -1.52268e-05, -2.71879e-06, -2.75141e-06
173, 0.0301798, 0.0301492, -1.2897e-05, -1.83778e-05, -3.15098e-06, -3.06087e-06
174, 0.0301738, 0.0301325, -1.67277e-05, -2.19413e-05, -3.56351e-06, -3.36287e-06
175, 0.0301598, 0.0301113, -2.1236e-05, -2.58702e-05, -3.92891e-06, -3.64628e-06
176, 0.0301405, 0.0300853, -2.60096e-05, -3.01035e-05, -4.23337e-06, -3.90283e-06
177, 0.0301178, 0.0300541, -3.11663e-05, -3.46296e-05, -4.52609e-06, -4.12953e-06
178, 0.0300892, 0.0300171, -3.70303e-05, -3.94386e-05, -4.80896e-06, -4.32021e-06
179, 0.0300531, 0.0299738, -4.33065e-05, -4.44735e-05, -5.03487e-06, -4.46283e-06
180, 0.0300065, 0.029924, -4.97892e-05, -4.96655e-05, -5.19203e-06, -4.55215e-06
181, 0.0299452, 0.029868, -5.60068e-05, -5.49322e-05, -5.26668e-06, -4.5858e-06
182, 0.0298738, 0.0298062, -6.17529e-05, -6.01635e-05, -5.23132e-06, -4.56668e-06
183, 0.0297993, 0.0297391, -6.71156e-05, -6.52789e-05, -5.11542e-06, -4.50133e-06
184, 0.0297195, 0.0296665, -7.25965e-05, -7.02509e-05, -4.97201e-06, -4.39486e-06
185, 0.0296304, 0.0295883, -7.81657e-05, -7.50147e-05, -4.76378e-06, -4.24399e-06
186, 0.0295351, 0.029505, -8.32929e-05, -7.94504e-05, -4.43571e-06, -4.04741e-06
187, 0.0294358, 0.0294172, -8.78897e-05, -8.3509e-05, -4.05855e-06, -3.81312e-06
188, 0.0293397, 0.0293253, -9.18972e-05, -8.71648e-05, -3.65584e-06, -3.5487e-06
189, 0.0292475, 0.0292301, -9.51974e-05, -9.04415e-05, -3.27669e-06, -3.26229e-06
190, 0.0291531, 0.0291321, -9.79673e-05, -9.33901e-05, -2.94861e-06, -2.96369e-06
191, 0.0290516, 0.0290315, -0.00010059, -9.60264e-05, -2.6363e-06, -2.65907e-06
