J, Z, Average Z, D Avg Z, Avg D Avg Z, D Avg D Avg Z, Avg DD Avg Z
1, 0.0306707, 
2, 0.030681, 
3, 0.0306529, 
4, 0.0306473, 
5, 0.0306426, 
6, 0.0306388, 
7, 0.030635, 
8, 0.0306339, 0.0306429, 
9, 0.0306354, 0.0306399, -2.98483e-06, 
10, 0.0306364, 0.0306361, -3.83928e-06, 
11, 0.0306361, 0.030634, -2.10082e-06, 
12, 0.0306363, 0.0306322, -1.80602e-06, 
13, 0.0306352, 0.0306306, -1.57033e-06, 
14, 0.0306327, 0.0306291, -1.48204e-06, 
15, 0.0306293, 0.0306277, -1.39363e-06, 
16, 0.0306259, 0.0306263, -1.45249e-06, -1.99076e-06
17, 0.0306234, 0.0306246, -1.6883e-06, -1.88664e-06, 1.04118e-07
 18, 0.0306214, 0.0306227, -1.92386e-06, -1.71574e-06, 1.709e-07
 19, 0.0306202, 0.0306207, -1.98285e-06, -1.65288e-06, 6.28663e-08
 20, 0.0306191, 0.0306186, -2.04183e-06, -1.60966e-06, 4.32134e-08
 21, 0.0306166, 0.0306166, -2.04183e-06, -1.58806e-06, 2.16067e-08
 22, 0.0306141, 0.0306147, -1.89456e-06, -1.57822e-06, 9.83477e-09
 23, 0.0306121, 0.0306131, -1.65875e-06, -1.58804e-06, -9.81821e-09
 24, 0.03061, 0.0306116, -1.42306e-06, -1.61947e-06, -3.14332e-08, -1.8074e-08
25, 0.0306076, 0.0306104, -1.27579e-06, -1.66269e-06, -4.32134e-08, -3.62777e-08
26, 0.0306064, 0.0306092, -1.15782e-06, -1.71377e-06, -5.10861e-08, -5.98502e-08
27, 0.0306057, 0.030608, -1.15782e-06, -1.78647e-06, -7.26928e-08, -7.7007e-08
28, 0.0306045, 0.0306068, -1.24623e-06, -1.87683e-06, -9.03673e-08, -9.28536e-08
29, 0.0306042, 0.0306055, -1.33452e-06, -1.98095e-06, -1.04118e-07, -1.06605e-07
30, 0.0306044, 0.0306039, -1.5409e-06, -2.1106e-06, -1.29648e-07, -1.18393e-07
31, 0.0306046, 0.030602, -1.92399e-06, -2.26187e-06, -1.51272e-07, -1.26513e-07
32, 0.0306043, 0.0305997, -2.3365e-06, -2.43081e-06, -1.68938e-07, -1.29525e-07
33, 0.030604, 0.030597, -2.69016e-06, -2.6135e-06, -1.82688e-07, -1.27561e-07
34, 0.0306029, 0.0305939, -3.07324e-06, -2.80798e-06, -1.94485e-07, -1.21012e-07
35, 0.0306004, 0.0305905, -3.39734e-06, -3.00247e-06, -1.94485e-07, -1.09355e-07
36, 0.0305966, 0.0305869, -3.6036e-06, -3.18713e-06, -1.84659e-07, -9.37702e-08
37, 0.030591, 0.0305831, -3.83928e-06, -3.35412e-06, -1.66992e-07, -7.56973e-08
38, 0.0305832, 0.0305791, -3.92782e-06, -3.48574e-06, -1.31619e-07, -5.43506e-08
39, 0.030575, 0.0305752, -3.95713e-06, -3.56235e-06, -7.66168e-08, -3.14304e-08
40, 0.0305672, 0.0305712, -4.01611e-06, -3.5761e-06, -1.37422e-08, -7.72708e-09
41, 0.0305603, 0.0305671, -4.0751e-06, -3.52895e-06, 4.71456e-08, 1.68935e-08
42, 0.0305547, 0.030563, -4.0751e-06, -3.4268e-06, 1.02156e-07, 4.23005e-08
43, 0.0305505, 0.030559, -4.01611e-06, -3.28339e-06, 1.43407e-07, 6.78384e-08
44, 0.0305467, 0.0305551, -3.83941e-06, -3.11641e-06, 1.66976e-07, 9.32454e-08
45, 0.0305455, 0.0305516, -3.51518e-06, -2.92586e-06, 1.90553e-07, 1.17475e-07
46, 0.0305452, 0.0305486, -3.07324e-06, -2.73333e-06, 1.92531e-07, 1.38691e-07
47, 0.0305441, 0.030546, -2.54263e-06, -2.54672e-06, 1.86612e-07, 1.548e-07
48, 0.0305429, 0.030544, -1.98297e-06, -2.3601e-06, 1.8662e-07, 1.6449e-07
49, 0.0305418, 0.0305425, -1.5409e-06, -2.17348e-06, 1.8662e-07, 1.6724e-07
50, 0.0305402, 0.0305412, -1.24623e-06, -1.98489e-06, 1.88582e-07, 1.63572e-07
51, 0.030539, 0.0305401, -1.09896e-06, -1.78845e-06, 1.96447e-07, 1.54405e-07
52, 0.0305383, 0.0305392, -9.80993e-07, -1.59199e-06, 1.96455e-07, 1.4144e-07
53, 0.0305371, 0.0305381, -1.03985e-06, -1.40537e-06, 1.8662e-07, 1.24938e-07
54, 0.0305368, 0.030537, -1.15794e-06, -1.24036e-06, 1.65014e-07, 1.0778e-07
55, 0.0305375, 0.0305357, -1.2168e-06, -1.10875e-06, 1.31602e-07, 9.14109e-08
56, 0.0305372, 0.0305345, -1.27579e-06, -1.02036e-06, 8.8397e-08, 7.54335e-08
57, 0.030536, 0.0305332, -1.24636e-06, -9.73211e-07, 4.71456e-08, 5.97189e-08
58, 0.030534, 0.0305322, -1.06941e-06, -9.67317e-07, 5.89424e-09, 4.33491e-08
59, 0.0305319, 0.0305313, -8.9258e-07, -9.94818e-07, -2.75009e-08, 2.54065e-08
60, 0.0305299, 0.0305305, -7.15877e-07, -1.05179e-06, -5.69721e-08, 5.89203e-09
61, 0.0305279, 0.03053, -5.98033e-07, -1.11663e-06, -6.48366e-08, -1.53239e-08
62, 0.0305258, 0.0305294, -5.68603e-07, -1.17555e-06, -5.89258e-08, -3.75868e-08
