J, Z, Average Z, D Avg Z, Avg D Avg Z, D Avg D Avg Z, Avg DD Avg Z
77,0.0100258,0.010025,-3.58E-06,-3.86E-06,-3.38E-07,-6.00E-07
78,0.0100209,0.0100211,-3.97E-06,-4.13E-06,-2.73E-07,-5.38E-07
79,0.0100169,0.0100166,-4.51E-06,-4.33E-06,-1.91E-07,-4.41E-07
80,0.0100133,0.0100116,-5.00E-06,-4.47E-06,-1.42E-07,-2.97E-07
81,0.0100093,0.0100064,-5.20E-06,-4.58E-06,-1.09E-07,-1.16E-07
82,0.010003,0.0100013,-5.10E-06,-4.63E-06,-5.46E-08,7.78E-08
83,0.00999591,0.00999645,-4.81E-06,-4.57E-06,6.55E-08,2.54E-07
84,0.00998879,0.00999184,-4.61E-06,-4.35E-06,2.18E-07,4.00E-07
85,0.00998345,0.00998743,-4.41E-06,-3.99E-06,3.60E-07,5.32E-07
86,0.00997987,0.00998336,-4.07E-06,-3.55E-06,4.37E-07,6.52E-07
87,0.00997762,0.00997997,-3.38E-06,-3.12E-06,4.31E-07,7.45E-07
88,0.00997537,0.00997743,-2.55E-06,-2.73E-06,3.93E-07,7.82E-07
89,0.00997355,0.00997567,-1.76E-06,-2.34E-06,3.87E-07,7.52E-07
90,0.00997263,0.0099744,-1.27E-06,-1.97E-06,3.71E-07,6.63E-07
91,0.00997259,0.00997318,-1.22E-06,-1.65E-06,3.17E-07,5.44E-07
92,0.00997299,0.00997191,-1.27E-06,-1.44E-06,2.13E-07,4.28E-07
93,0.00997295,0.00997079,-1.12E-06,-1.34E-06,9.82E-08,3.11E-07
94,0.00997202,0.00996971,-1.07E-06,-1.33E-06,5.45E-09,1.69E-07
95,0.00996889,0.00996849,-1.22E-06,-1.37E-06,-3.82E-08,1.64E-08
96,0.00996619,0.00996703,-1.47E-06,-1.41E-06,-3.28E-08,-1.30E-07
97,0.00996527,0.00996537,-1.66E-06,-1.48E-06,-7.64E-08,-2.62E-07
98,0.0099639,0.00996365,-1.71E-06,-1.66E-06,-1.80E-07,-3.82E-07
99,0.00996165,0.00996204,-1.61E-06,-1.90E-06,-2.40E-07,-4.93E-07
100,0.0099594,0.00996053,-1.52E-06,-2.17E-06,-2.67E-07,-6.04E-07
101,0.00995803,0.00995857,-1.96E-06,-2.49E-06,-3.17E-07,-7.16E-07
102,0.00995755,0.00995583,-2.74E-06,-2.87E-06,-3.82E-07,-7.82E-07
103,0.0099575,0.00995259,-3.23E-06,-3.31E-06,-4.37E-07,-7.74E-07
104,0.00995525,0.00994896,-3.63E-06,-3.79E-06,-4.86E-07,-7.19E-07
