J, Z, Average Z, D Avg Z, Avg D Avg Z, D Avg D Avg Z, Avg DD Avg Z
1, 0.0306154, 
2, 0.0306112, 
3, 0.0305972, 
4, 0.0305957, 
5, 0.0305919, 
6, 0.0305869, 
7, 0.0305818, 
8, 0.0305771, 0.0305848, 
9, 0.0305747, 0.0305819, -2.96223e-06, 
10, 0.0305736, 0.030579, -2.84438e-06, 
11, 0.0305725, 0.030577, -2.07822e-06, 
12, 0.0305731, 0.0305748, -2.13732e-06, 
13, 0.0305743, 0.0305726, -2.19606e-06, 
14, 0.0305745, 0.0305703, -2.28447e-06, 
15, 0.0305729, 0.0305679, -2.43175e-06, 
16, 0.0305709, 0.0305652, -2.66756e-06, -3.15672e-06
17, 0.0305685, 0.0305621, -3.10962e-06, -3.19602e-06, -3.92977e-08
 18, 0.0305661, 0.0305585, -3.61055e-06, -3.20584e-06, -9.81821e-09
 19, 0.0305636, 0.0305545, -3.99351e-06, -3.23923e-06, -3.33952e-08
 20, 0.030559, 0.0305502, -4.28831e-06, -3.2569e-06, -1.76662e-08
 21, 0.0305526, 0.0305458, -4.40603e-06, -3.26476e-06, -7.8645e-09
 22, 0.0305453, 0.0305415, -4.31774e-06, -3.25691e-06, 7.85622e-09
 23, 0.0305371, 0.0305375, -4.02307e-06, -3.22744e-06, 2.94629e-08
 24, 0.0305281, 0.0305339, -3.55169e-06, -3.16654e-06, 6.09044e-08, 1.01104e-07
25, 0.0305194, 0.030531, -2.99166e-06, -3.05456e-06, 1.11974e-07, 1.12238e-07
26, 0.0305126, 0.0305284, -2.57914e-06, -2.88365e-06, 1.70916e-07, 1.15642e-07
27, 0.0305088, 0.030526, -2.40232e-06, -2.65578e-06, 2.27872e-07, 1.15905e-07
28, 0.0305082, 0.0305237, -2.31403e-06, -2.38664e-06, 2.6914e-07, 1.1263e-07
29, 0.0305097, 0.0305215, -2.16663e-06, -2.10572e-06, 2.80912e-07, 1.08047e-07
30, 0.0305126, 0.0305195, -1.9898e-06, -1.84642e-06, 2.59305e-07, 1.02022e-07
31, 0.0305177, 0.0305177, -1.75399e-06, -1.64015e-06, 2.06265e-07, 9.49502e-08
32, 0.0305236, 0.0305163, -1.43001e-06, -1.51245e-06, 1.27703e-07, 8.64367e-08
33, 0.0305274, 0.0305153, -1.04681e-06, -1.4712e-06, 4.12514e-08, 7.45202e-08
34, 0.0305276, 0.0305147, -5.75433e-07, -1.50066e-06, -2.94629e-08, 5.78866e-08
35, 0.0305243, 0.0305144, -2.51209e-07, -1.56745e-06, -6.67903e-08, 3.52302e-08
36, 0.0305201, 0.0305143, -1.92349e-07, -1.64406e-06, -7.66085e-08, 7.59628e-09
37, 0.0305154, 0.0305138, -4.2816e-07, -1.72657e-06, -8.2511e-08, -2.17391e-08
38, 0.0305108, 0.0305129, -9.29087e-07, -1.80319e-06, -7.66168e-08, -4.88477e-08
39, 0.0305066, 0.0305113, -1.63615e-06, -1.86999e-06, -6.67986e-08, -6.98009e-08
40, 0.0305037, 0.0305089, -2.37289e-06, -1.93676e-06, -6.67738e-08, -8.17196e-08
41, 0.030504, 0.0305059, -3.02109e-06, -2.01535e-06, -7.85871e-08, -8.3946e-08
42, 0.0305051, 0.0305025, -3.40417e-06, -2.12732e-06, -1.11974e-07, -7.76604e-08
43, 0.0305053, 0.030499, -3.46315e-06, -2.27269e-06, -1.45369e-07, -6.63974e-08
44, 0.0305033, 0.0304956, -3.40429e-06, -2.43181e-06, -1.5912e-07, -5.36939e-08
45, 0.0304986, 0.0304925, -3.13905e-06, -2.57913e-06, -1.47323e-07, -4.0466e-08
46, 0.0304931, 0.0304897, -2.75597e-06, -2.68717e-06, -1.08033e-07, -2.89408e-08
47, 0.030488, 0.0304873, -2.43162e-06, -2.73825e-06, -5.10779e-08, -2.01657e-08
48, 0.0304821, 0.030485, -2.22561e-06, -2.73039e-06, 7.85622e-09, -1.30959e-08
49, 0.0304765, 0.0304828, -2.25504e-06, -2.66557e-06, 6.48201e-08, -6.28443e-09
50, 0.0304723, 0.0304804, -2.43175e-06, -2.56341e-06, 1.02156e-07, 3.14525e-09
51, 0.030469, 0.0304778, -2.57914e-06, -2.44947e-06, 1.13944e-07, 1.61098e-08
52, 0.0304684, 0.0304751, -2.638e-06, -2.33356e-06, 1.15906e-07, 3.10397e-08
53, 0.0304695, 0.0304726, -2.54959e-06, -2.2373e-06, 9.62615e-08, 4.58376e-08
54, 0.0304701, 0.0304702, -2.40232e-06, -2.17247e-06, 6.48283e-08, 5.77541e-08
55, 0.0304703, 0.0304679, -2.25504e-06, -2.1332e-06, 3.92728e-08, 6.49575e-08
56, 0.0304701, 0.0304659, -2.04879e-06, -2.10962e-06, 2.35852e-08, 6.71838e-08
57, 0.0304686, 0.030464, -1.87183e-06, -2.08014e-06, 2.94712e-08, 6.45651e-08
58, 0.0304666, 0.0304623, -1.75399e-06, -2.03104e-06, 4.90993e-08, 5.84087e-08
59, 0.0304637, 0.0304606, -1.6657e-06, -1.96622e-06, 6.48283e-08, 5.09427e-08
60, 0.0304604, 0.0304589, -1.69513e-06, -1.89157e-06, 7.46465e-08, 4.2954e-08
61, 0.0304571, 0.0304571, -1.78354e-06, -1.82086e-06, 7.07143e-08, 3.66673e-08
62, 0.0304542, 0.0304553, -1.84253e-06, -1.76388e-06, 5.69721e-08, 3.31314e-08
63, 0.0304513, 0.0304534, -1.87183e-06, -1.72263e-06, 4.12514e-08, 3.18223e-08
64, 0.0304485, 0.0304516, -1.81297e-06, -1.69709e-06, 2.55389e-08, 3.11655e-08
65, 0.030446, 0.0304499, -1.69526e-06, -1.68728e-06, 9.80993e-09, 2.86765e-08
66, 0.030444, 0.0304483, -1.60672e-06, -1.68533e-06, 1.95371e-09, 2.30466e-08
67, 0.0304429, 0.0304468, -1.5183e-06, -1.68925e-06, -3.92397e-09, 1.4926e-08
68, 0.0304427, 0.0304453, -1.48887e-06, -1.68729e-06, 1.96199e-09, 4.57962e-09
69, 0.0304425, 0.0304437, -1.54773e-06, -1.6755e-06, 1.17885e-08, -6.5521e-09
70, 0.0304423, 0.0304421, -1.63627e-06, -1.65587e-06, 1.96364e-08, -1.80779e-08
71, 0.0304429, 0.0304404, -1.6657e-06, -1.64213e-06, 1.37339e-08, -2.98641e-08
72, 0.0304432, 0.0304387, -1.72469e-06, -1.65e-06, -7.8645e-09, -4.17818e-08
73, 0.0304425, 0.030437, -1.72469e-06, -1.68535e-06, -3.53489e-08, -5.31745e-08
74, 0.0304409, 0.0304353, -1.72456e-06, -1.74233e-06, -5.69804e-08, -6.52218e-08
75, 0.0304381, 0.0304336, -1.6657e-06, -1.82288e-06, -8.05491e-08, -7.85804e-08
76, 0.0304339, 0.030432, -1.60672e-06, -1.91914e-06, -9.62615e-08, -9.53431e-08
77, 0.0304297, 0.0304304, -1.54798e-06, -2.03505e-06, -1.15914e-07, -1.16036e-07
78, 0.0304263, 0.0304288, -1.66583e-06, -2.17059e-06, -1.35543e-07, -1.39739e-07
79, 0.0304226, 0.0304268, -1.93094e-06, -2.32382e-06, -1.53225e-07, -1.6331e-07
80, 0.0304202, 0.0304246, -2.22549e-06, -2.4849e-06, -1.61082e-07, -1.84787e-07
81, 0.0304182, 0.0304221, -2.46142e-06, -2.66366e-06, -1.78756e-07, -2.03123e-07
82, 0.0304179, 0.0304194, -2.72654e-06, -2.86796e-06, -2.04303e-07, -2.18705e-07
83, 0.0304186, 0.0304165, -2.9328e-06, -3.11744e-06, -2.49479e-07, -2.3023e-07
84, 0.0304193, 0.0304132, -3.28645e-06, -3.41604e-06, -2.98603e-07, -2.37825e-07
85, 0.0304173, 0.0304095, -3.66941e-06, -3.75195e-06, -3.35905e-07, -2.39264e-07
86, 0.030414, 0.0304056, -3.96408e-06, -4.09178e-06, -3.39838e-07, -2.34681e-07
87, 0.0304098, 0.0304014, -4.14091e-06, -4.4218e-06, -3.30011e-07, -2.25382e-07
88, 0.0304056, 0.030397, -4.40603e-06, -4.73219e-06, -3.10391e-07, -2.1294e-07
89, 0.0304, 0.0303922, -4.78911e-06, -5.02291e-06, -2.90722e-07, -1.9644e-07
90, 0.0303941, 0.0303868, -5.40788e-06, -5.27632e-06, -2.53411e-07, -1.74569e-07
91, 0.0303846, 0.0303807, -6.08576e-06, -5.48651e-06, -2.10189e-07, -1.44449e-07
92, 0.0303746, 0.0303742, -6.58656e-06, -5.62401e-06, -1.37505e-07, -1.05683e-07
93, 0.0303669, 0.0303674, -6.76339e-06, -5.6908e-06, -6.67903e-08, -6.05015e-08
94, 0.0303605, 0.0303605, -6.88111e-06, -5.70455e-06, -1.37422e-08, -1.33559e-08
95, 0.0303541, 0.0303536, -6.88136e-06, -5.67901e-06, 2.55389e-08, 3.47054e-08
96, 0.0303463, 0.0303468, -6.82225e-06, -5.61025e-06, 6.87523e-08, 8.22461e-08
97, 0.0303368, 0.0303403, -6.5277e-06, -5.4865e-06, 1.23754e-07, 1.28475e-07
98, 0.0303273, 0.0303342, -6.08563e-06, -5.28418e-06, 2.02325e-07, 1.70515e-07
99, 0.0303205, 0.0303288, -5.34902e-06, -5.00129e-06, 2.8289e-07, 2.06659e-07
100, 0.0303158, 0.0303242, -4.67127e-06, -4.65947e-06, 3.41816e-07, 2.33375e-07
101, 0.0303108, 0.03032, -4.17021e-06, -4.29212e-06, 3.67347e-07, 2.51317e-07
102, 0.0303065, 0.0303162, -3.75782e-06, -3.90122e-06, 3.90907e-07, 2.62972e-07
103, 0.0303032, 0.0303129, -3.37474e-06, -3.49849e-06, 4.0272e-07, 2.70044e-07
104, 0.0303021, 0.0303099, -2.9328e-06, -3.09578e-06, 4.02712e-07, 2.72402e-07
105, 0.0303028, 0.0303076, -2.37301e-06, -2.7186e-06, 3.77182e-07, 2.68997e-07
106, 0.0303043, 0.0303057, -1.8424e-06, -2.38662e-06, 3.31981e-07, 2.57344e-07
107, 0.0303046, 0.0303043, -1.45932e-06, -2.12338e-06, 2.63237e-07, 2.37174e-07
108, 0.0303043, 0.030303, -1.25319e-06, -1.92104e-06, 2.02341e-07, 2.10195e-07
109, 0.0303041, 0.030302, -1.0175e-06, -1.75997e-06, 1.61073e-07, 1.79419e-07
110, 0.0303034, 0.0303011, -8.4055e-07, -1.62834e-06, 1.31627e-07, 1.44585e-07
111, 0.0303023, 0.0303004, -7.81566e-07, -1.52422e-06, 1.04118e-07, 1.06605e-07
112, 0.0303012, 0.0302995, -8.69979e-07, -1.45154e-06, 7.26846e-08, 6.71844e-08
113, 0.0302997, 0.0302984, -1.10591e-06, -1.42402e-06, 2.75175e-08, 2.90733e-08
114, 0.0302986, 0.030297, -1.40046e-06, -1.44367e-06, -1.9653e-08, -5.49963e-09
115, 0.030297, 0.0302954, -1.63615e-06, -1.50654e-06, -6.28663e-08, -3.47048e-08
116, 0.0302955, 0.0302936, -1.75412e-06, -1.60083e-06, -9.42912e-08, -5.91957e-08
117, 0.0302939, 0.0302918, -1.78342e-06, -1.73244e-06, -1.3161e-07, -8.0804e-08
118, 0.0302915, 0.03029, -1.81297e-06, -1.89942e-06, -1.66976e-07, -1.00843e-07
119, 0.0302891, 0.0302882, -1.84253e-06, -2.08802e-06, -1.88599e-07, -1.19179e-07
120, 0.0302862, 0.0302862, -1.96025e-06, -2.2825e-06, -1.94485e-07, -1.35156e-07
121, 0.0302833, 0.0302841, -2.1372e-06, -2.46911e-06, -1.86612e-07, -1.47206e-07
122, 0.03028, 0.0302817, -2.40232e-06, -2.64395e-06, -1.7484e-07, -1.54277e-07
123, 0.030278, 0.030279, -2.66756e-06, -2.80898e-06, -1.65022e-07, -1.55456e-07
124, 0.0302774, 0.030276, -2.99166e-06, -2.97203e-06, -1.63052e-07, -1.51003e-07
125, 0.0302763, 0.0302727, -3.34519e-06, -3.14099e-06, -1.68963e-07, -1.40264e-07
126, 0.0302747, 0.030269, -3.61055e-06, -3.31191e-06, -1.70916e-07, -1.23371e-07
127, 0.0302718, 0.0302653, -3.78725e-06, -3.47888e-06, -1.66976e-07, -1.01761e-07
128, 0.0302676, 0.0302614, -3.9051e-06, -3.63212e-06, -1.53234e-07, -7.75335e-08
129, 0.0302625, 0.0302573, -4.02307e-06, -3.75783e-06, -1.25716e-07, -5.19962e-08
130, 0.030257, 0.0302532, -4.11148e-06, -3.83838e-06, -8.05491e-08, -2.55406e-08
131, 0.0302506, 0.030249, -4.19989e-06, -3.86587e-06, -2.74926e-08, 1.70094e-09
132, 0.0302438, 0.0302447, -4.31786e-06, -3.8364e-06, 2.94712e-08, 2.92041e-08
133, 0.0302374, 0.0302403, -4.37672e-06, -3.74998e-06, 8.64185e-08, 5.72326e-08
