J, Z, Average Z, D Avg Z, Avg D Avg Z, D Avg D Avg Z, Avg DD Avg Z
1, 0.0305986, 
2, 0.0305886, 
3, 0.0305977, 
4, 0.0305974, 
5, 0.030599, 
6, 0.0306018, 
7, 0.0306047, 
8, 0.0306066, 0.0305966, 
9, 0.0306059, 0.0305952, -1.36321e-06, 
10, 0.030603, 0.0305944, -8.03545e-07, 
11, 0.0305984, 0.0305929, -1.54016e-06, 
12, 0.0305937, 0.0305911, -1.8054e-06, 
13, 0.0305886, 0.0305889, -2.15893e-06, 
14, 0.0305839, 0.0305864, -2.51258e-06, 
15, 0.0305806, 0.0305835, -2.86611e-06, 
16, 0.0305782, 0.0305803, -3.21977e-06, -2.57146e-06
17, 0.0305766, 0.030577, -3.33761e-06, -2.73059e-06, -1.59128e-07
 18, 0.0305746, 0.0305738, -3.19021e-06, -2.94275e-06, -2.12159e-07
 19, 0.0305703, 0.0305708, -3.01339e-06, -3.12347e-06, -1.80726e-07
 20, 0.0305666, 0.0305678, -2.98396e-06, -3.27865e-06, -1.55179e-07
 21, 0.0305641, 0.0305647, -3.04282e-06, -3.3867e-06, -1.0805e-07
 22, 0.0305617, 0.0305615, -3.21977e-06, -3.44956e-06, -6.28581e-08
 23, 0.0305583, 0.030558, -3.51444e-06, -3.46724e-06, -1.76827e-08
 24, 0.0305559, 0.0305542, -3.75013e-06, -3.44564e-06, 2.16067e-08, -6.1948e-08
25, 0.0305552, 0.0305503, -3.98594e-06, -3.41617e-06, 2.94629e-08, -4.87202e-08
26, 0.0305532, 0.030546, -4.25105e-06, -3.41618e-06, -8.27842e-12, -2.973e-08
27, 0.030549, 0.0305419, -4.13309e-06, -3.44173e-06, -2.55472e-08, -9.82428e-09
28, 0.030543, 0.0305381, -3.77968e-06, -3.47513e-06, -3.34034e-08, 8.50911e-09
29, 0.0305356, 0.0305346, -3.45546e-06, -3.50265e-06, -2.75175e-08, 2.17369e-08
30, 0.0305279, 0.0305315, -3.13135e-06, -3.51443e-06, -1.17802e-08, 2.97256e-08
31, 0.0305219, 0.0305286, -2.89567e-06, -3.50068e-06, 1.37505e-08, 3.26071e-08
32, 0.0305168, 0.0305257, -2.89567e-06, -3.46139e-06, 3.92894e-08, 3.19531e-08
33, 0.0305108, 0.0305225, -3.19034e-06, -3.3887e-06, 7.26928e-08, 3.1692e-08
34, 0.0305084, 0.0305191, -3.3966e-06, -3.27084e-06, 1.1786e-07, 3.6408e-08
35, 0.0305099, 0.0305156, -3.48501e-06, -3.15102e-06, 1.19822e-07, 4.51836e-08
36, 0.0305123, 0.0305122, -3.45558e-06, -3.06065e-06, 9.03673e-08, 5.60543e-08
37, 0.0305147, 0.0305088, -3.39647e-06, -3.00368e-06, 5.69721e-08, 6.71877e-08
38, 0.0305149, 0.0305055, -3.30818e-06, -2.97814e-06, 2.55389e-08, 7.79259e-08
39, 0.0305124, 0.0305023, -3.16078e-06, -2.96634e-06, 1.17968e-08, 8.73556e-08
40, 0.0305073, 0.0304994, -2.89554e-06, -2.94079e-06, 2.55472e-08, 9.44276e-08
41, 0.0305022, 0.0304969, -2.48315e-06, -2.87006e-06, 7.07308e-08, 9.70463e-08
42, 0.0304967, 0.0304946, -2.33576e-06, -2.76397e-06, 1.06088e-07, 9.3119e-08
43, 0.0304911, 0.0304922, -2.42417e-06, -2.63432e-06, 1.29657e-07, 8.65713e-08
44, 0.0304847, 0.0304896, -2.60087e-06, -2.49484e-06, 1.39483e-07, 8.0809e-08
45, 0.0304783, 0.0304868, -2.74827e-06, -2.34554e-06, 1.49293e-07, 7.70103e-08
46, 0.0304745, 0.0304841, -2.71872e-06, -2.19035e-06, 1.55196e-07, 7.53077e-08
47, 0.0304734, 0.0304816, -2.51246e-06, -2.04498e-06, 1.45369e-07, 7.37354e-08
48, 0.0304736, 0.0304795, -2.12938e-06, -1.933e-06, 1.11974e-07, 6.99361e-08
49, 0.0304733, 0.0304777, -1.80528e-06, -1.87405e-06, 5.89506e-08, 6.07675e-08
50, 0.0304735, 0.0304761, -1.54016e-06, -1.85245e-06, 2.16067e-08, 4.74083e-08
51, 0.0304733, 0.0304748, -1.36333e-06, -1.84851e-06, 3.93225e-09, 3.13002e-08
52, 0.0304735, 0.0304736, -1.15708e-06, -1.84852e-06, -8.27842e-12, 1.40132e-08
53, 0.0304741, 0.0304726, -9.80248e-07, -1.84852e-06, 0, -4.97644e-09
54, 0.0304747, 0.0304717, -9.80248e-07, -1.86031e-06, -1.17885e-08, -2.55378e-08
55, 0.0304754, 0.0304704, -1.21593e-06, -1.89175e-06, -3.14415e-08, -4.5969e-08
56, 0.0304751, 0.0304688, -1.59889e-06, -1.95855e-06, -6.67986e-08, -6.35181e-08
57, 0.0304736, 0.0304668, -2.01166e-06, -2.05285e-06, -9.42995e-08, -7.57001e-08
58, 0.0304707, 0.0304645, -2.36519e-06, -2.16482e-06, -1.11966e-07, -8.27721e-08
59, 0.0304673, 0.0304619, -2.601e-06, -2.28464e-06, -1.19822e-07, -8.64394e-08
60, 0.0304636, 0.0304591, -2.74827e-06, -2.42019e-06, -1.35551e-07, -8.8796e-08
61, 0.0304598, 0.0304562, -2.89554e-06, -2.57341e-06, -1.53225e-07, -9.10224e-08
62, 0.0304551, 0.0304532, -2.98408e-06, -2.73451e-06, -1.61098e-07, -9.24634e-08
63, 0.0304496, 0.0304501, -3.13135e-06, -2.88578e-06, -1.51263e-07, -9.31168e-08
64, 0.0304431, 0.0304469, -3.21977e-06, -3.00955e-06, -1.23779e-07, -9.1545e-08
65, 0.030438, 0.0304437, -3.21964e-06, -3.09403e-06, -8.4473e-08, -8.87944e-08
66, 0.0304343, 0.0304405, -3.16066e-06, -3.14511e-06, -5.10779e-08, -8.57838e-08
67, 0.0304322, 0.0304373, -3.19034e-06, -3.18046e-06, -3.53571e-08, -8.30353e-08
68, 0.0304307, 0.030434, -3.27863e-06, -3.21386e-06, -3.33952e-08, -7.84513e-08
69, 0.03043, 0.0304306, -3.39672e-06, -3.24726e-06, -3.34034e-08, -7.08556e-08
70, 0.0304284, 0.0304272, -3.48488e-06, -3.2885e-06, -4.12431e-08, -6.06383e-08
71, 0.0304268, 0.0304237, -3.45558e-06, -3.33173e-06, -4.32216e-08, -4.88521e-08
72, 0.0304253, 0.0304204, -3.27875e-06, -3.38477e-06, -5.30399e-08, -3.74566e-08
73, 0.0304233, 0.0304173, -3.13135e-06, -3.45157e-06, -6.68069e-08, -2.88117e-08
74, 0.0304195, 0.0304142, -3.13135e-06, -3.53017e-06, -7.85953e-08, -2.30493e-08
75, 0.0304144, 0.0304109, -3.2492e-06, -3.59696e-06, -6.67903e-08, -1.83345e-08
76, 0.0304088, 0.0304075, -3.3966e-06, -3.63625e-06, -3.92894e-08, -1.30959e-08
77, 0.0304028, 0.0304039, -3.60273e-06, -3.64409e-06, -7.83967e-09, -6.80928e-09
78, 0.0303977, 0.0304001, -3.77968e-06, -3.61856e-06, 2.55307e-08, 1.0475e-09
79, 0.030394, 0.0303961, -4.01537e-06, -3.5714e-06, 4.71539e-08, 9.29832e-09
80, 0.0303911, 0.0303919, -4.22175e-06, -3.5262e-06, 4.52002e-08, 1.88588e-08
81, 0.0303873, 0.0303875, -4.33959e-06, -3.49085e-06, 3.53571e-08, 3.03857e-08
82, 0.0303835, 0.0303834, -4.19219e-06, -3.45548e-06, 3.53654e-08, 4.34838e-08
83, 0.0303797, 0.0303795, -3.86797e-06, -3.4103e-06, 4.51836e-08, 5.46161e-08
84, 0.0303759, 0.030376, -3.51431e-06, -3.3494e-06, 6.08961e-08, 6.12945e-08
85, 0.0303717, 0.0303729, -3.10193e-06, -3.27279e-06, 7.66085e-08, 6.24717e-08
86, 0.0303666, 0.0303701, -2.74827e-06, -3.19225e-06, 8.05408e-08, 5.78888e-08
87, 0.030362, 0.0303675, -2.60075e-06, -3.10188e-06, 9.03673e-08, 4.93758e-08
88, 0.0303582, 0.0303649, -2.601e-06, -2.99579e-06, 1.06096e-07, 4.02061e-08
89, 0.0303566, 0.0303623, -2.60087e-06, -2.87791e-06, 1.17876e-07, 3.19564e-08
90, 0.0303564, 0.0303598, -2.57144e-06, -2.77772e-06, 1.00194e-07, 2.43595e-08
91, 0.0303561, 0.0303573, -2.48315e-06, -2.71683e-06, 6.08878e-08, 1.67633e-08
92, 0.0303563, 0.0303548, -2.4536e-06, -2.70701e-06, 9.81821e-09, 8.64433e-09
93, 0.0303565, 0.0303522, -2.57157e-06, -2.75022e-06, -4.32134e-08, 9.17801e-10
94, 0.0303549, 0.0303496, -2.65986e-06, -2.83077e-06, -8.05408e-08, -3.79538e-09
95, 0.030352, 0.030347, -2.6303e-06, -2.92311e-06, -9.23458e-08, -5.76013e-09
96, 0.0303483, 0.0303444, -2.57144e-06, -3.0115e-06, -8.83887e-08, -6.41633e-09
97, 0.0303449, 0.0303417, -2.68929e-06, -3.09009e-06, -7.85871e-08, -6.15528e-09
98, 0.0303425, 0.0303387, -2.95465e-06, -3.15885e-06, -6.87606e-08, -1.9653e-09
99, 0.0303391, 0.0303354, -3.36704e-06, -3.21974e-06, -6.08878e-08, 8.25138e-09
100, 0.0303332, 0.0303316, -3.75013e-06, -3.25902e-06, -3.92894e-08, 2.59313e-08
101, 0.0303267, 0.0303277, -3.95638e-06, -3.24918e-06, 9.84304e-09, 5.02898e-08
102, 0.0303225, 0.0303237, -3.98594e-06, -3.18829e-06, 6.08961e-08, 7.80539e-08
103, 0.0303196, 0.0303198, -3.92683e-06, -3.09203e-06, 9.62532e-08, 1.05558e-07
104, 0.0303163, 0.030316, -3.77968e-06, -2.97024e-06, 1.21792e-07, 1.30963e-07
105, 0.030312, 0.0303124, -3.60285e-06, -2.8072e-06, 1.63044e-07, 1.53097e-07
106, 0.0303056, 0.030309, -3.39647e-06, -2.59306e-06, 2.14138e-07, 1.71432e-07
107, 0.0303001, 0.0303059, -3.04294e-06, -2.31804e-06, 2.75017e-07, 1.85706e-07
108, 0.0302972, 0.0303035, -2.42392e-06, -1.99588e-06, 3.22163e-07, 1.94481e-07
109, 0.0302952, 0.0303018, -1.74642e-06, -1.65996e-06, 3.35922e-07, 1.94609e-07
110, 0.0302931, 0.0303006, -1.1865e-06, -1.33975e-06, 3.20209e-07, 1.85573e-07
111, 0.0302916, 0.0302998, -7.44561e-07, -1.04705e-06, 2.92692e-07, 1.68809e-07
112, 0.0302909, 0.0302996, -2.43634e-07, -7.93636e-07, 2.53419e-07, 1.45498e-07
113, 0.0302915, 0.0302998, 2.57418e-07, -5.87362e-07, 2.06273e-07, 1.14461e-07
114, 0.0302935, 0.0303006, 7.58221e-07, -4.34145e-07, 1.53217e-07, 7.54324e-08
115, 0.0302968, 0.0303017, 1.08232e-06, -3.41816e-07, 9.23293e-08, 2.85484e-08
116, 0.0303005, 0.0303028, 1.08245e-06, -3.30044e-07, 1.17719e-08, -2.39666e-08
117, 0.0303047, 0.0303036, 8.17205e-07, -4.04691e-07, -7.46465e-08, -7.73999e-08
118, 0.0303084, 0.030304, 4.6355e-07, -5.59895e-07, -1.55204e-07, -1.27297e-07
119, 0.0303126, 0.0303041, 2.16067e-08, -7.87766e-07, -2.27872e-07, -1.71955e-07
120, 0.0303159, 0.0303036, -5.0875e-07, -1.09028e-06, -3.02518e-07, -2.09673e-07
121, 0.030317, 0.0303025, -1.09822e-06, -1.46157e-06, -3.71287e-07, -2.39402e-07
122, 0.0303163, 0.0303008, -1.658e-06, -1.88981e-06, -4.28243e-07, -2.60617e-07
123, 0.0303134, 0.0302986, -2.24734e-06, -2.35538e-06, -4.65562e-07, -2.7332e-07
124, 0.0303074, 0.0302957, -2.86611e-06, -2.82096e-06, -4.65579e-07, -2.76463e-07
125, 0.0303001, 0.0302922, -3.51456e-06, -3.24921e-06, -4.28251e-07, -2.69784e-07
126, 0.0302919, 0.030288, -4.16264e-06, -3.62638e-06, -3.77173e-07, -2.5315e-07
127, 0.0302833, 0.0302832, -4.78141e-06, -3.93872e-06, -3.12345e-07, -2.26303e-07
128, 0.0302751, 0.0302779, -5.31189e-06, -4.17839e-06, -2.39669e-07, -1.89373e-07
129, 0.0302686, 0.0302723, -5.66542e-06, -4.3434e-06, -1.65006e-07, -1.43535e-07
130, 0.0302631, 0.0302664, -5.90111e-06, -4.44162e-06, -9.82235e-08, -9.12818e-08
131, 0.0302575, 0.0302604, -5.90123e-06, -4.47699e-06, -3.53654e-08, -3.48384e-08
132, 0.030252, 0.0302548, -5.60656e-06, -4.45146e-06, 2.55307e-08, 2.1738e-08
133, 0.030246, 0.0302496, -5.19405e-06, -4.35715e-06, 9.43078e-08, 7.38617e-08
134, 0.0302409, 0.030245, -4.66357e-06, -4.18232e-06, 1.74832e-07, 1.19438e-07
135, 0.0302362, 0.0302409, -4.10378e-06, -3.93088e-06, 2.51441e-07, 1.56631e-07
136, 0.030232, 0.0302373, -3.5733e-06, -3.6146e-06, 3.16277e-07, 1.84789e-07
137, 0.0302278, 0.0302342, -3.13135e-06, -3.25904e-06, 3.55558e-07, 2.04171e-07
138, 0.0302249, 0.0302314, -2.77782e-06, -2.87795e-06, 3.81089e-07, 2.16351e-07
139, 0.0302233, 0.0302289, -2.48315e-06, -2.49488e-06, 3.83067e-07, 2.22899e-07
140, 0.0302222, 0.0302268, -2.09995e-06, -2.14128e-06, 3.53605e-07, 2.24603e-07
141, 0.0302219, 0.0302253, -1.54016e-06, -1.83481e-06, 3.06467e-07, 2.20149e-07
142, 0.0302217, 0.0302243, -1.0098e-06, -1.58926e-06, 2.45555e-07, 2.07446e-07
143, 0.0302215, 0.0302237, -5.67734e-07, -1.40656e-06, 1.82697e-07, 1.86755e-07
144, 0.0302217, 0.0302234, -3.32048e-07, -1.28084e-06, 1.25724e-07, 1.59515e-07
145, 0.0302214, 0.0302232, -1.84774e-07, -1.19636e-06, 8.4473e-08, 1.2887e-07
146, 0.0302203, 0.030223, -1.5522e-07, -1.1335e-06, 6.28663e-08, 9.62621e-08
147, 0.0302205, 0.0302227, -3.02494e-07, -1.08241e-06, 5.10861e-08, 6.36522e-08
148, 0.0302229, 0.0302221, -5.9704e-07, -1.05491e-06, 2.75009e-08, 3.44471e-08
149, 0.0302257, 0.0302211, -9.80248e-07, -1.07062e-06, -1.57124e-08, 1.11339e-08
150, 0.0302277, 0.0302198, -1.36333e-06, -1.12955e-06, -5.89258e-08, -4.71263e-09
151, 0.030227, 0.0302181, -1.68743e-06, -1.22188e-06, -9.23293e-08, -1.32256e-08
152, 0.030225, 0.0302162, -1.86426e-06, -1.32599e-06, -1.04109e-07, -1.57141e-08
153, 0.0302226, 0.0302144, -1.83483e-06, -1.43402e-06, -1.08033e-07, -1.53217e-08
154, 0.0302188, 0.0302127, -1.71686e-06, -1.5401e-06, -1.0608e-07, -1.70249e-08
155, 0.0302132, 0.030211, -1.68743e-06, -1.62457e-06, -8.4473e-08, -2.46217e-08
156, 0.0302072, 0.0302092, -1.77585e-06, -1.6678e-06, -4.32299e-08, -3.83732e-08
157, 0.0302013, 0.0302073, -1.89369e-06, -1.65995e-06, 7.85622e-09, -5.77558e-08
158, 0.0301961, 0.0302054, -1.95267e-06, -1.60495e-06, 5.50018e-08, -8.49968e-08
159, 0.0301937, 0.0302035, -1.89369e-06, -1.51655e-06, 8.8397e-08, -1.23893e-07
160, 0.0301939, 0.0302017, -1.80528e-06, -1.42619e-06, 9.0359e-08, -1.79422e-07
161, 0.0301945, 0.0301999, -1.74642e-06, -1.38887e-06, 3.73191e-08, -2.55381e-07
162, 0.0301952, 0.0301984, -1.56959e-06, -1.45174e-06, -6.28663e-08, -3.53079e-07
163, 0.0301963, 0.0301971, -1.24549e-06, -1.63051e-06, -1.78773e-07, -4.76315e-07
164, 0.0301973, 0.0301962, -8.62405e-07, -1.93696e-06, -3.06451e-07, -6.29541e-07
165, 0.0301984, 0.0301957, -5.38304e-07, -2.4045e-06, -4.6754e-07, -8.15246e-07
166, 0.0301986, 0.0301953, -3.61477e-07, -3.08027e-06, -6.75768e-07, -1.03435e-06
167, 0.0301979, 0.0301948, -5.08875e-07, -4.01731e-06, -9.37043e-07, -1.28593e-06
168, 0.0301964, 0.0301936, -1.27504e-06, -5.26474e-06, -1.24743e-06, -1.56605e-06
169, 0.0301952, 0.0301909, -2.65986e-06, -6.83629e-06, -1.57155e-06, -1.86805e-06
170, 0.0301946, 0.0301865, -4.36902e-06, -8.7693e-06, -1.93301e-06, -2.18485e-06
171, 0.0301943, 0.0301802, -6.37261e-06, -1.11109e-05, -2.34162e-06, -2.5116e-06
172, 0.0301932, 0.0301713, -8.9068e-06, -1.38886e-05, -2.77773e-06, -2.84412e-06
173, 0.0301907, 0.0301592, -1.20892e-05, -1.71201e-05, -3.2315e-06, -3.17637e-06
174, 0.0301861, 0.0301432, -1.59493e-05, -2.08054e-05, -3.68529e-06, -3.49867e-06
175, 0.0301748, 0.0301227, -2.05167e-05, -2.4917e-05, -4.11157e-06, -3.80041e-06
176, 0.0301546, 0.0300974, -2.53197e-05, -2.94097e-05, -4.49266e-06, -4.07163e-06
177, 0.0301296, 0.0300668, -3.05648e-05, -3.42245e-05, -4.81485e-06, -4.30828e-06
178, 0.0301007, 0.0300304, -3.63698e-05, -3.93045e-05, -5.08003e-06, -4.50354e-06
179, 0.0300637, 0.0299879, -4.25283e-05, -4.45987e-05, -5.29418e-06, -4.65009e-06
180, 0.0300171, 0.0299389, -4.90108e-05, -5.005e-05, -5.45132e-06, -4.74425e-06
181, 0.0299594, 0.0298833, -5.56408e-05, -5.55603e-05, -5.51026e-06, -4.78236e-06
182, 0.0298902, 0.0298211, -6.21824e-05, -6.10234e-05, -5.46311e-06, -4.76272e-06
183, 0.0298166, 0.0297524, -6.86649e-05, -6.63392e-05, -5.31577e-06, -4.68768e-06
184, 0.0297368, 0.0296775, -7.48826e-05, -7.14605e-05, -5.1213e-06, -4.55776e-06
185, 0.029649, 0.029597, -8.05695e-05, -7.63225e-05, -4.86199e-06, -4.37507e-06
186, 0.0295564, 0.0295112, -8.57852e-05, -8.08623e-05, -4.53981e-06, -4.14536e-06
187, 0.029458, 0.0294205, -9.06767e-05, -8.50524e-05, -4.19015e-06, -3.87532e-06
188, 0.0293561, 0.0293258, -9.47431e-05, -8.88556e-05, -3.80316e-06, -3.57004e-06
189, 0.0292533, 0.0292279, -9.7896e-05, -9.22462e-05, -3.39063e-06, -3.24159e-06
190, 0.0291448, 0.0291276, -0.000100253, -9.52322e-05, -2.98594e-06, -2.90305e-06
191, 0.0290314, 0.0290255, -0.000102139, -9.77761e-05, -2.54396e-06, -2.56543e-06
192, 0.0289211, 0.028922, -0.000103495, -9.98506e-05, -2.07444e-06, -2.23488e-06
193, 0.0288139, 0.0288175, -0.000104467, -0.000101485, -1.63443e-06, -1.91834e-06
194, 0.0287036, 0.0287121, -0.000105381, -0.000102728, -1.24349e-06, -1.62001e-06
195, 0.0285959, 0.0286061, -0.000106058, -0.000103601, -8.72206e-07, -1.34027e-06
196, 0.0284909, 0.0284996, -0.0001065, -0.000104184, -5.8343e-07, -1.08188e-06
197, 0.0283864, 0.0283926, -0.000106972, -0.000104569, -3.85021e-07, -8.4641e-07
198, 0.0282845, 0.0282858, -0.000106824, -0.000104821, -2.51449e-07, -6.31763e-07
199, 0.0281843, 0.0281798, -0.000105999, -0.000104984, -1.63044e-07, -4.437e-07
200, 0.028082, 0.0280747, -0.000105086, -0.000105098, -1.13936e-07, -2.90606e-07
201, 0.0279757, 0.0279703, -0.000104438, -0.000105162, -6.48366e-08, -1.75227e-07
202, 0.0278671, 0.0278665, -0.00010376, -0.000105156, 5.90252e-09, -9.41615e-08
203, 0.0277586, 0.027763, -0.000103495, -0.000105084, 7.26763e-08, -4.46577e-08
204, 0.0276488, 0.0276593, -0.000103671, -0.000104942, 1.41445e-07, -1.62395e-08
205, 0.0275424, 0.0275553, -0.000104025, -0.000104709, 2.33766e-07, 6.54547e-10
206, 0.0274414, 0.0274507, -0.000104585, -0.000104432, 2.76979e-07, 1.12625e-08
207, 0.0273448, 0.0273455, -0.000105204, -0.00010421, 2.21969e-07, 1.54525e-08
208, 0.0272473, 0.0272401, -0.000105439, -0.000104113, 9.62615e-08, 1.32267e-08
209, 0.0271472, 0.0271348, -0.000105292, -0.000104141, -2.75009e-08, 4.71539e-09
210, 0.0270435, 0.0270298, -0.000104968, -0.000104271, -1.29648e-07, -1.10004e-08
211, 0.0269359, 0.0269254, -0.000104379, -0.000104428, -1.57158e-07, -3.35249e-08
212, 0.026826, 0.026822, -0.000103465, -0.000104559, -1.3161e-07, -6.60044e-08
213, 0.0267157, 0.0267193, -0.00010267, -0.000104652, -9.23293e-08, -1.13544e-07
214, 0.0266063, 0.0266166, -0.00010267, -0.000104752, -1.00194e-07, -1.73132e-07
215, 0.0265004, 0.026513, -0.000103642, -0.000104899, -1.47323e-07, -2.29575e-07
216, 0.0263963, 0.0264081, -0.00010485, -0.000105092, -1.92506e-07, -2.66245e-07
217, 0.0262926, 0.0263024, -0.000105704, -0.000105321, -2.29834e-07, -2.79996e-07
218, 0.0261929, 0.0261966, -0.000105852, -0.000105587, -2.65191e-07, -2.77509e-07
219, 0.0260968, 0.0260909, -0.000105646, -0.000105932, -3.45748e-07, -2.71091e-07
220, 0.0260024, 0.0259855, -0.00010541, -0.000106412, -4.79329e-07, -2.66902e-07
221, 0.0259014, 0.0258794, -0.000106088, -0.000107029, -6.16834e-07, -2.65985e-07
222, 0.0257902, 0.025772, -0.000107414, -0.000107653, -6.24682e-07, -2.56555e-07
223, 0.0256746, 0.0256637, -0.000108327, -0.000108107, -4.53782e-07, -2.2971e-07
224, 0.0255616, 0.025555, -0.000108739, -0.000108341, -2.33774e-07, -1.90552e-07
225, 0.0254557, 0.025446, -0.000108946, -0.000108433, -9.23375e-08, -1.48384e-07
226, 0.0253512, 0.0253365, -0.000109565, -0.000108494, -6.08961e-08, -1.08834e-07
227, 0.0252449, 0.0252258, -0.000110655, -0.000108563, -6.87689e-08, -6.61396e-08
