J, Z, Average Z, D Avg Z, Avg D Avg Z, D Avg D Avg Z, Avg DD Avg Z
1, 0.0305955, 
2, 0.030598, 
3, 0.0305942, 
4, 0.0305976, 
5, 0.0305969, 
6, 0.0305945, 
7, 0.0305916, 
8, 0.0305879, 0.0305808, 
9, 0.0305824, 0.0305774, -3.32842e-06, 
10, 0.0305773, 0.0305739, -3.56423e-06, 
11, 0.0305718, 0.0305704, -3.50525e-06, 
12, 0.0305641, 0.0305664, -3.94732e-06, 
13, 0.0305577, 0.0305624, -4.00618e-06, 
14, 0.0305531, 0.0305585, -3.91776e-06, 
15, 0.0305489, 0.0305547, -3.82935e-06, 
16, 0.0305456, 0.030551, -3.68208e-06, -3.17329e-06
17, 0.0305445, 0.0305476, -3.41684e-06, -3.0731e-06, 1.00185e-07
 18, 0.0305416, 0.0305443, -3.24013e-06, -2.97881e-06, 9.42912e-08
 19, 0.0305383, 0.0305413, -2.97489e-06, -2.89631e-06, 8.25028e-08
 20, 0.0305368, 0.0305389, -2.47397e-06, -2.79218e-06, 1.04126e-07
 21, 0.0305357, 0.0305368, -2.09088e-06, -2.69789e-06, 9.42912e-08
 22, 0.0305342, 0.0305349, -1.88462e-06, -2.62521e-06, 7.26763e-08
 23, 0.0305327, 0.0305332, -1.73735e-06, -2.56432e-06, 6.08961e-08
 24, 0.0305311, 0.0305313, -1.82564e-06, -2.51521e-06, 4.91076e-08, -1.67616e-08
25, 0.0305287, 0.0305292, -2.14987e-06, -2.4995e-06, 1.57124e-08, -4.26918e-08
26, 0.0305272, 0.0305269, -2.26771e-06, -2.51913e-06, -1.96364e-08, -6.60022e-08
27, 0.030527, 0.0305245, -2.38543e-06, -2.58592e-06, -6.67903e-08, -8.60393e-08
28, 0.0305263, 0.0305219, -2.59181e-06, -2.7195e-06, -1.33581e-07, -1.04637e-07
29, 0.0305248, 0.0305191, -2.82762e-06, -2.91201e-06, -1.92506e-07, -1.19566e-07
30, 0.0305228, 0.0305162, -2.91591e-06, -3.14971e-06, -2.37698e-07, -1.29911e-07
31, 0.0305182, 0.0305133, -2.94546e-06, -3.42471e-06, -2.75001e-07, -1.37638e-07
32, 0.0305123, 0.0305101, -3.18115e-06, -3.71348e-06, -2.88768e-07, -1.43793e-07
33, 0.0305076, 0.0305065, -3.53468e-06, -3.96884e-06, -2.55365e-07, -1.45495e-07
34, 0.0305026, 0.0305026, -3.97675e-06, -4.1869e-06, -2.18054e-07, -1.41698e-07
35, 0.0304979, 0.0304981, -4.47767e-06, -4.36174e-06, -1.7484e-07, -1.31483e-07
