J, Z, Average Z, D Avg Z, Avg D Avg Z, D Avg D Avg Z, Avg DD Avg Z
1,0.0102374, ,,,,
2,0.0102378, ,,,,
3,0.0102417, ,,,,
4,0.0102412, ,,,,
5,0.0102464,0.0102475, ,,,
6,0.0102525,0.0102487,1.21E-06, ,,
7,0.0102573,0.0102491,4.27E-07, ,,
8,0.0102582,0.0102482,-8.51E-07, ,,
9,0.0102546,0.0102463,-1.93E-06, ,,
10,0.0102483,0.0102425,-3.80E-06,-3.42E-06,,
11,0.0102416,0.0102369,-5.57E-06,-4.17E-06,-7.53E-07,
12,0.010234,0.0102302,-6.79E-06,-4.74E-06,-5.68E-07,
13,0.0102238,0.0102232,-6.99E-06,-5.05E-06,-3.17E-07,
14,0.0102122,0.0102167,-6.45E-06,-5.11E-06,-6.00E-08,
15,0.0102024,0.0102111,-5.57E-06,-4.81E-06,3.06E-07,2.07E-07
16,0.0101962,0.0102065,-4.68E-06,-4.17E-06,6.33E-07,3.73E-07
17,0.0101952,0.0102028,-3.70E-06,-3.31E-06,8.62E-07,5.08E-07
18,0.0101965,0.0102003,-2.47E-06,-2.40E-06,9.12E-07,6.01E-07
19,0.0101982,0.0101992,-1.05E-06,-1.55E-06,8.46E-07,6.47E-07
20,0.0101995,0.0101994,1.32E-07,-8.12E-07,7.42E-07,6.30E-07
21,0.0102007,0.0102003,9.67E-07,-1.68E-07,6.44E-07,5.59E-07
22,0.0102016,0.0102016,1.21E-06,3.56E-07,5.24E-07,4.46E-07
23,0.0102028,0.0102027,1.16E-06,7.11E-07,3.55E-07,3.20E-07
24,0.0102036,0.0102038,1.11E-06,8.63E-07,1.53E-07,1.97E-07
25,0.0102049,0.0102049,1.11E-06,8.52E-07,-1.09E-08,8.13E-08
26,0.0102062,0.010206,1.02E-06,7.00E-07,-1.53E-07,-2.85E-08
27,0.010207,0.0102067,7.21E-07,4.76E-07,-2.24E-07,-1.29E-07
28,0.0102082,0.010207,3.28E-07,2.19E-07,-2.57E-07,-2.10E-07
29,0.0102095,0.010207,3.37E-08,-8.10E-08,-3.00E-07,-2.69E-07
30,0.0102099,0.0102066,-4.09E-07,-4.25E-07,-3.44E-07,-3.15E-07
31,0.010208,0.0102058,-8.02E-07,-8.02E-07,-3.77E-07,-3.49E-07
32,0.0102058,0.0102047,-1.15E-06,-1.18E-06,-3.77E-07,-3.79E-07
33,0.0102039,0.0102031,-1.59E-06,-1.56E-06,-3.82E-07,-4.11E-07
